no,judul_inovasi,pemda,admin_opd,inisiator,nama_inisiator,bentuk_inovasi,jenis,asta_cipta,urusan_utama,urusan_lain_yang_beririsan,kematangan,tahapan_inovasi,tanggal_input,tanggal_penerapan,tanggal_pengembangan,video,link_video,label_kematangan,lat,lon
107,SMANSKA AWARD,Provinsi Jawa Timur,SMAN 1 KWADUNGAN NGAWI (iga2024.sman1.kwadungan.ngawi),ASN,"Tri Mei Handayani, S.S., M.hum",Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pendidikan,"Keuangan,Pendidikan Dan Pelatihan",98.0,Penerapan,2024-07-26,2023-01-11,2023-02-15,Ada,https://static2024.tuxedovation.com/c9351fe8b493422dcc8c57dc37689e739fffdeb8.mp4,Sangat Inovatif,,
108,SANAMU – SATE NANGKA MUDA SEBAGAI UPAYA MENGUBAH PROTEIN HEWANI MENJADI PROTEIN NABATI PADA OLAHAN SATE,Provinsi Jawa Timur,SMKS PGRI 4 KOTA BLITAR  (iga2024.smks.pgri.4.blitar),Masyarakat,"NIKEN LARASATI, S.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Pangan,Koperasi, Usaha Kecil, Dan Menengah,Perdagangan",96.0,Penerapan,2024-07-26,2023-09-11,2023-10-10,Ada,https://static2024.tuxedovation.com/1e53faeb602308cde13b7ad6361f233c2c2b72bd.mp4,Sangat Inovatif,-8.107775295274768,112.18032666411983
109,GEmeS ( Galeri Ekonomi Kreatif Siswa ),Provinsi Jawa Timur,Cabang Dinas Pendidikan Kab. Sampang (iga2024.cabdin.pendidikan.sampang),ASN,"MAS'UDI HADIWIJAYA, S.Pd, M.Pd.",Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pendidikan,"Koperasi, Usaha Kecil, Dan Menengah",42.0,Penerapan,2024-07-26,2023-01-03,,Tidak Ada,-,Kurang Inovatif,,
110,KETER (KELAS INTERNASIONAL) SMKN 1 BOYOLANGU,Provinsi Jawa Timur,"SMKN 1 BOYOLANGU, KAB. TULUNGAGUNG  (jatimprov.dispendik.smkn1boyolangu)",ASN,"ENDANG ARY HANDAYANI,ST",Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pendidikan,Kepemudaan Dan Olah Raga,97.0,Penerapan,2024-07-26,2023-12-21,,Ada,https://youtu.be/cfsavhmsNAo?si=yKlopzZYbUo7UzqT,Sangat Inovatif,,
111,"PROGRAM GERAKAN LITERASI SEKOLAH : RUMAH LITERASI (RUANG UNTUK MENGEMBANGKAN AKTIVITAS HUMANIORA, LITERASI INOVATIF TINGKATKAN EKSPLORASI REALISASI DAN ASPIRASI SISWA INTELEKTUAL)",Provinsi Jawa Timur,SMK NEGERI 1 BANDUNG TULUNGAGUNG (iga2024.smkn1.bandung.tulungagung),ASN,"SYAIFUL HUDA, S.Pd., M.Pd.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,Tidak Diisi,Pendidikan,Perpustakaan,52.0,Penerapan,2024-07-26,2023-11-13,,Ada,"https://www.youtube.com/watch?v=5ktOFTP2sAY, https://static2024.tuxedovation.com/c1479e08daa9ddbf5a1e73ef3d6b6fd326e4fdd1.mp4",Inovatif,,
112,"""BES-Q""(BERSIH ENTREPRENEUR SEHAT DAN QOLBU)",Provinsi Jawa Timur,"SMAN 1 JENANGAN, PONOROGO  (jatimprov.dispendik.sman1jenangan)",OPD,"Titik Ruwaidah, S.Pd.,M.Pd.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,96.0,Penerapan,2024-07-26,2024-02-09,2024-04-26,Ada,https://res5.tuxedovation.com/520ab66dc8719324d7d02475424a7d5e6cc79277.mp4,Sangat Inovatif,,
113,”e-SUPAK” (Aplikasi Supervisi Akademik Pembelajar Guru Mata Pelajaran),Provinsi Jawa Timur,SMA NEGERI 2 TARUNA BHAYANGKARA JAWA TIMUR (iga2024.sman2.taruna.bhayangkara),ASN,"H. Mujib, S.Pd., M.M.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,Tidak Diisi,Pendidikan,Tidak Ada,6.0,Penerapan,2024-07-26,2024-07-26,2024-07-25,Tidak Ada,-,Kurang Inovatif,,
114,Asesmen Kolaboratif,Provinsi Jawa Timur,SMK NEGERI 2 BOYOLANGU TULUNGAGUNG (iga2024.smkn2.boyolangu.tulungagung),ASN,"IBNU SUBROTO, S.TP.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pariwisata,96.0,Penerapan,2024-07-26,2023-06-26,,Ada,https://static2024.tuxedovation.com/642b507350cfb8893ad12dcc9e6a49e88d83858f.mp4,Sangat Inovatif,,
115,PEMBUATAN  TABALIS UNTUK MENINGKATKAN KETERAMPILAN VOKASIONAL SISWA TUNARUNGU,Provinsi Jawa Timur,SLB NEGERI 1 SAMBIROTO NGAWI (iga2024.slbn1.sambiroto.ngawi),Masyarakat,SLB NEGERI 1 SAMBIROTO NGAWI,Inovasi Pelayanan Publik,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",Pendidikan,Tidak Ada,101.0,Penerapan,2024-07-26,2023-08-24,2023-10-10,Ada,https://youtu.be/NJUBIWAAaOU?si=y4evqtjhDfNvock4,Sangat Inovatif,-7.44495302230224,111.55678901719284
116,PENGEMBANGAN KEGIATAN KEWIRAUSAHAAN SEJAK DINI UNTUK MENCIPTAKAN PENGUSAHA YANG MANDIRI BAGI SISWA BERKEBUTUHAN KHUSUS DI SLB INSAN MULIA,Provinsi Jawa Timur,SLB Insan Mulia Kab. Mojokerto (iga2024.slb.insan.mulia.mojokerto),ASN,"KHOIROTUL AMALIA, S.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Meningkatkan lapangan kerja yang berkualitas, mendorong kewirausahaan, mengembangkan industri kreatif, dan melanjutkan pengembangan infrastruktur.",Pendidikan,Perindustrian,74.0,Penerapan,2024-07-26,2023-08-22,2023-08-29,Ada,https://static2024.tuxedovation.com/82f7d7331feb5ace6d6df448633baa8882d29d2d.jpg,Sangat Inovatif,-7.564085027912899,112.52915629371391
117,Bel Sekolah Berlampu Untuk Anak Tunarungu,Provinsi Jawa Timur,SLBN 4 KOTA BLITAR (iga2024.slbn.4.blitar),ASN,"LULUIL CHINAJAH,S.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan,57.0,Penerapan,2024-07-26,2023-11-01,,Ada,https://static2024.tuxedovation.com/472dbdc0109ee7dbd7cdf2502c60ec1099e740ff.mp4,Inovatif,-8.0951048,112.1794287
118,"""KODAM ABRI"" Kolaborasi Dalam Mewujudkan ABK Mandiri",Provinsi Jawa Timur,SLBN 1 NGAWI (iga2024.slbn1.ngawi),ASN,SLB NEGERI 1 NGAWI,Inovasi Pelayanan Publik,Non Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",Pendidikan,Tidak Ada,76.0,Penerapan,2024-07-26,2024-08-16,2024-11-22,Tidak Ada,-,Sangat Inovatif,-7.4077,111.4401
119,INOVASI “NATAN BERSIAGA” (PENANGANAN KETERLAMBATAN SISWA SISWI SMA NEGERI 1 KAMPAK DENGAN PENDEKATAN BERBASIS KELUARGA),Provinsi Jawa Timur,SMA NEGERI 1 KAMPAK TRENGGALEK (iga2024.sman1.kampak.trenggalek),ASN,"BAHTIAR KHOLILI,S.Pd., MM.Pd",Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pendidikan,Tidak Ada,72.0,Penerapan,2024-07-26,2023-08-01,,Ada,https://drive.google.com/file/d/1AZ-D5sfS9h2tsYFBWUcvSz1qFx2FPPaq/view?usp=sharing,Sangat Inovatif,,
120,SMANSKA GEMAR MENABUNG,Provinsi Jawa Timur,SMAN 1 KWADUNGAN NGAWI (iga2024.sman1.kwadungan.ngawi),ASN,"Tri Mei Handayani, S.S., M.hum",Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pendidikan,"Kesehatan,Sosial,Pemberdayaan Masyarakat Dan Desa,Koperasi, Usaha Kecil, Dan Menengah,Pendidikan Dan Pelatihan",12.0,Penerapan,2024-07-26,2023-01-11,2023-02-26,Tidak Ada,-,Kurang Inovatif,,
121,SIAP SMANAWA (SISTEM INFORMASI TERPADU SMA NEGERI 9 MALANG),Provinsi Jawa Timur,SMAN 9 MALANG  (jatimprov.dispendik.sman9malang),OPD,Agnes Andri Wibowo,Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Komunikasi Dan Informatika,Pendidikan Dan Pelatihan",87.0,Penerapan,2024-07-26,2023-01-01,2023-11-01,Ada,https://www.youtube.com/watch?v=Z5cXg0nMFIE,Sangat Inovatif,,
122,KUKIS DORANG ( Kegiatan Upacara Kolaborasi Siswa dan Orang Tua ),Provinsi Jawa Timur,SLBN Dr. RADJIMAN WEDYODININGRAT NGAWI (iga2024.slbradjiman.ngawi),ASN,"SUYITNO, S.Pd (KEPALA SEKOLAH)",Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pendidikan,"Sosial,Pemberdayaan Masyarakat Dan Desa,Pendidikan Dan Pelatihan",61.0,Penerapan,2024-07-26,2023-12-04,,Ada,https://youtu.be/ESzat5L-5Ro?si=9d4jhX3rtixUXdmh,Inovatif,,
123,Sekolah BERSERI,Provinsi Jawa Timur,SMKN WONGSOREJO BANYUWANGI (iga2024.smkn.wongsorejo.banyuwangi),ASN,"Sunaryo Sungeng,S.Pd.",Inovasi Tata Kelola Pemerintahan Daerah,Non Digital,Tidak Diisi,Pendidikan,"Kesehatan,Lingkungan Hidup",73.0,Penerapan,2024-07-26,2023-09-04,2023-12-19,Ada,https://youtu.be/ofsheNEDXf8,Sangat Inovatif,,
124,"VISIBEL (VOKASI ISTIMEWA, SISWA ISTIMEWA BERBAKAT LUAR BIASA)",Provinsi Jawa Timur,SLBN PANDAAN PASURUAN (iga2024.slbn.pandaan.pasuruan),OPD,"IVA EVRY ROBIYANSAH,",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,98.0,Penerapan,2024-07-26,2023-02-17,2024-12-16,Ada,https://youtu.be/Ec6_fj9yqJs,Sangat Inovatif,-7.4367614,112.7201938
125,JATIM LEKANG ( JAMUR TIRAM LELE KANGKUNG ),Provinsi Jawa Timur,SLBN SEDURI MOJOKERTO (iga2024.slbn.seduri.mojokerto),ASN,ENDANG MURSALIN,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,Tidak Diisi,Pendidikan,Tidak Ada,59.0,Penerapan,2024-07-27,2023-08-15,,Ada,https://youtu.be/EG-PU2rtzfQ,Inovatif,,
126,Program Zero Waste  Dari Limbah menjadi Berkah oleh SMK Al-Khusna di UD Sentosa,Provinsi Jawa Timur,SMK AL KHUSNA  (iga2024.smk.al.khusna),Masyarakat,SMK SWASTA AL-KHUSNA,Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,Tidak Diisi,Lingkungan Hidup,"Koperasi, Usaha Kecil, Dan Menengah",12.0,Penerapan,2024-07-27,2023-02-01,2023-03-01,Tidak Ada,-,Kurang Inovatif,,
127,RACIK MANIS (GeRAkan BeCIK MANfaat IStimewa melalui Pemanfaatan Bunga Telang),Provinsi Jawa Timur,SMA Negeri 1 Jombang (iga2024.sma.n.1.jombang),OPD,"Dyah Ayu Endrianingsih, S.Pd., M.M., Yustiningsih, S.Pd., M.T.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Kesehatan,Pangan,Lingkungan Hidup,Koperasi, Usaha Kecil, Dan Menengah,Pertanian,Penelitian Dan Pengembangan,Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan",97.0,Penerapan,2024-07-27,2023-09-29,2023-11-24,Ada,https://www.youtube.com/watch?v=PFW2vIcykM8,Sangat Inovatif,-7.555634771775602,112.23385366392493
128,"""Cassava of Mocaf"" Modifikasi Singkong Menginspirasi Kewirausahaan Peserta Didik Berbasis Kearifan Lokal Di SLB Negeri Kampak",Provinsi Jawa Timur,SLB NEGERI KAMPAK TRENGGALEK (iga2024.slbn.kampak.trenggalek),ASN,"ARIF ASHARI, S.Pd.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,Tidak Diisi,Pendidikan,Tidak Ada,82.0,Penerapan,2024-07-27,2023-08-01,,Ada,https://drive.google.com/file/d/1H0OKCmo2U5CkCNTNc9pkYSTix9vFZ3T6/view?usp=sharing,Sangat Inovatif,,
129,BU SISI GAES (BUDAYA LITERASI NUMERASI MENUJU GENERASI EMAS),Provinsi Jawa Timur,SMAN 1 BANGKALAN (iga2024.sma.1.bangkalan),ASN,"MIFTAHUL HUDA,S.Pd.,M.Pd.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,101.0,Penerapan,2024-07-27,2023-08-08,2023-08-08,Ada,https://youtu.be/xmp2AP6BT5k,Sangat Inovatif,-7.029576425610032,112.75874893712928
130,"BANK GETOL ""BARANG BEKAS GELAS DAN BOTOL""",Provinsi Jawa Timur,SLBN KRAKSAAN PROBOLINGGO (iga2024.slbn.kraksaan.probolinggo),ASN,"WULANDOKO, S.Pd,.M.M.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,85.0,Penerapan,2024-07-27,2023-10-03,,Ada,https://youtu.be/0-e-8fYIQC8,Sangat Inovatif,-7.741903368028542,113.454091919943
131,"Sekolah Berkarakter, Masyarakat Berdaya: Dampak Nyata t-BuI APP SKIBAPOIN",Provinsi Jawa Timur,SMKN 1 BADEGAN (iga2024.smkn.1.badegan),ASN,"SUJONO, M.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,108.0,Penerapan,2024-07-27,2023-08-01,2023-01-03,Ada,https://youtu.be/BvaVQK1VBPk,Sangat Inovatif,-7.876387329338035,111.34206732104724
132,TEFA SEJOLI BOOSTER,Provinsi Jawa Timur,SMKN 2 Buduran Sidoarjo (iga2024.smkn2.buduran.sidoarjo),ASN,"Dra. Hj. MARIYA ERNAWATI, M.M",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Pendidikan Dan Pelatihan,86.0,Penerapan,2024-07-27,2023-09-14,,Ada,https://www.youtube.com/watch?v=UHZP9Kd0HR0&list=LL&index=7&t=66s,Sangat Inovatif,-7.437201792796913,112.72275954111784
133,GEMPAR ( Gerakan Mencintai Permainan Asli Rakyat ),Provinsi Jawa Timur,SLB NEGERI TAMANAGUNG BANYUWANGI (iga2024.slbn.tamanagung.banyuwangi),ASN,"TITIS SETYORINI, S.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Kebudayaan,96.0,Penerapan,2024-07-28,2023-04-17,,Ada,https://www.youtube.com/watch?v=gAPU1KiMOm8,Sangat Inovatif,-8.413186950831225,114.21208485063374
134,JUMNA (JUM'AT BERMAKNA),Provinsi Jawa Timur,SMKN IHYA ULUMMUDIN SINGOJURUH BANYUWANGI (iga2024.smkn.ihya.ulummudin),ASN,"MOH. MALIKI, S.Pd., M.Pd.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Kesehatan,Sosial,Lingkungan Hidup,Kepemudaan Dan Olah Raga",99.0,Penerapan,2024-07-28,2023-09-08,2023-10-06,Ada,https://static2024.tuxedovation.com/5089bb0030324ff433501144fee42c1adb62e0d8.png,Sangat Inovatif,-8.292915808967269,114.24591926598609
135,BUPERTIWI,Provinsi Jawa Timur,SMKN 2 MAGETAN (iga2024.smkn.2.magetan),OPD,SMK NEGERI 2 MAGETAN,Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pendidikan,"Lingkungan Hidup,Fungsi Penunjang Lainnya Sesuai Dengan Ketentuan Peraturan Perundang-Undangan",81.0,Penerapan,2024-07-28,2022-10-03,2023-01-02,Ada,https://static2024.tuxedovation.com/95aeabd0ae597a319376eecbc71ef53a6f89fda8.jpg,Sangat Inovatif,,
136,PERSEGI (PEMBELAJARAN BERBASIS TEKNOLOGI),Provinsi Jawa Timur,SMKN  KALIBARU BANYUWANGI (iga2024.smkn.kalibaru.banyuwangi),ASN,"MUHAMAD HUSNAN, S.Pi., Gr",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,104.0,Penerapan,2024-07-28,2022-09-25,2023-07-14,Ada,https://drive.google.com/file/d/1Mo0U4gIICKdDuA4mUAPWKZras86i_KK_/view?usp=sharing,Sangat Inovatif,-8.295207391497106,113.98841107329471
137,SMANEPA JUMAT SEHAT,Provinsi Jawa Timur,SMA NEGERI 1 PANGGUL TRENGGALEK (iga2024.sman1.panggul.trenggalek),ASN,"GATOT SASMITO,S.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,"Memperkuat penyelarasan kehidupan yang harmonis dengan lingkungan, alam, dan budaya, serta peningkatan toleransi antarumat beragama untuk mencapai masyarakat yang adil dan makmur.",Pendidikan,Kesehatan,91.0,Penerapan,2024-07-28,2023-09-01,,Ada,"https://static2024.tuxedovation.com/7cb491b3cea4fbe339501a450b797e7c8d41eda7.mp4, https://static2024.tuxedovation.com/f56c87ff501d6ea38c6a30af8f50fcafc3aadd3b.mp4, https://static2024.tuxedovation.com/08bde2f80c7725e42a3719558ec03c3eb7ad8edb.mp4",Sangat Inovatif,,
138,GS3CAMPUR (GERAKAN SEKOLAH SEHAT SLB NEGERI CAMPURDARAT),Provinsi Jawa Timur,SLB  NEGERI CAMPURDARAT TULUNGAGUNG (iga2024.slbn.campurdarat.tulungagung),ASN,"MULTAZAMAH, M.Pd.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,85.0,Penerapan,2024-07-29,2023-07-18,2023-08-29,Ada,https://static2024.tuxedovation.com/3b35be937196dea9c6989a53775e7ed37b1b3aeb.mp4,Sangat Inovatif,-8.187044780767362,111.8281531258847
139,MENUJU FILLA MELALUI PELABUHAN KERAMAT,Provinsi Jawa Timur,SMAN 1 JETIS (iga2024.sman.1.jetis),ASN,"SITI ROHMATIN, S.Pd",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Tidak Ada,94.0,Penerapan,2024-07-29,2023-04-17,2024-07-15,Ada,https://youtu.be/jM2ppHCp3OM,Sangat Inovatif,-7.946626,111.487111
140,INOVASI SEKOLAH JENDELA LITERASI DIGITAL SMAKALITA (JeLiTa),Provinsi Jawa Timur,SMA NEGERI 1 KALIDAWIR TULUNGAGUNG (iga2024.sman1.kalidawir.tulungagung),ASN,"Yudi Eko Prasetyo, S.Kom",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,"Komunikasi Dan Informatika,Perpustakaan,Pendidikan Dan Pelatihan",106.0,Penerapan,2024-07-29,2023-08-14,2023-12-29,Ada,https://youtu.be/-UAwswak8PU,Sangat Inovatif,-8.173078714471492,111.99754376597426
142,Moderasi Beragama,Provinsi Jawa Timur,SMKN 1 PITU NGAWI (iga2024.smkn1.pitu.ngawi),ASN,Kepala Sekolah SMKN 1 Pitu Ngawi (Nur Zainuri),Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Non Digital,Tidak Diisi,Pendidikan,Tidak Ada,22.0,Penerapan,2024-07-29,2023-11-01,2023-12-18,Tidak Ada,-,Kurang Inovatif,,
143,"SMART TRASH BIN 2 (Tempat Sampah Otomatis, Pemilah Sampah Organik dan Anorganik)",Provinsi Jawa Timur,SMKN 1 WONOASRI MADIUN (iga2024.smkn1.wonoasri.madiun),ASN,"SUJIANI RATNA JUWITA, S.Pd",Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Lingkungan Hidup,Tidak Ada,97.0,Penerapan,2024-07-29,2023-06-07,,Ada,https://drive.google.com/file/d/1ZhOy1crUkCe332OtgEob5bdptWYKuInA/view?usp=sharing,Sangat Inovatif,,
144,Program KASIKU ( Alikasi KU-Belajar,Provinsi Jawa Timur,SMAN 1 SRONO (jatimprov.dispendik.sman1srono),ASN,Hadiri,Inovasi Pelayanan Publik,Digital,Tidak Diisi,Pendidikan,Pendidikan Dan Pelatihan,24.0,Penerapan,2024-07-29,2022-07-04,2023-01-02,Ada,https://drive.google.com/file/d/1imC1qZkmCo1JyGa2ZUQ5DR51N1P6UOzp/view?usp=drivesdk,Kurang Inovatif,,
145,E-Ekoliterasi Aksi Nyata Siswa SMA Negeri 1 Gambiran Dalam Mengatasi Permasalahan Lingkungan,Provinsi Jawa Timur,SMAN 1 GAMBIRAN BANYUWANGI (iga2024.sman1.gambiran.banyuwangi),ASN,"Akhmad Darmawan, S.Pd., M.P.",Inovasi Daerah Lainnya Sesuai Dengan Urusan Pemerintahan Yang Menjadi Kewenangan Daerah,Teknologi,Tidak Diisi,Pendidikan,Tidak Ada,48.0,Uji Coba,2024-07-30,2023-10-30,,Tidak Ada,-,Inovatif,,
146,Pengenalan Profil sekolah melalui Dunia Metaverse,Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,"DWI ANGGRAENI, S.Pd., M.Pd",Inovasi Pelayanan Publik,Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pendidikan,Komunikasi Dan Informatika,105.0,Penerapan,2024-07-30,2024-05-22,,Ada,https://www.youtube.com/watch?v=aMOi4qhkkCs,Sangat Inovatif,-7.780962381356546,113.21219703699074
147,Smexa Mengajar,Provinsi Jawa Timur,SMKN 1 PROBOLINGGO (iga2024.smkn1.probolinggo),ASN,"DWI ANGGRAENI, S.Pd., M.Pd.",Inovasi Pelayanan Publik,Non Digital,"Memperkuat pembangunan sumber daya manusia (SDM), sains, teknologi, pendidikan, kesehatan, prestasi olahraga, kesetaraan gender, serta penguatan peran perempuan, pemuda, dan penyandang disabilitas.",Pemberdayaan Masyarakat Dan Desa,Pendidikan Dan Pelatihan,106.0,Penerapan,2024-07-30,2023-11-23,2024-02-02,Ada,https://static2024.tuxedovation.com/32ce07467b3eb978ce8bc0298d5d7873acaeedf6.mp4,Sangat Inovatif,-7.780723846747593,113.2123107214569
148,LIBRINA (LIterasi Bahasa InggRIs daN Agama),Provinsi Jawa Timur,SMKN 1 TULUNGAGUNG  (jatimprov.dispendik.smkn1tulungagung),ASN,"Drs. Muhari, M.Pd",Inovasi Pelayanan Publik,Non Digital,Tidak Diisi,Pendidikan,Perpustakaan,86.0,Penerapan,2024-07-30,2022-08-02,2023-01-03,Ada,https://drive.google.com/file/d/1z4wkdPckJlv7vWOwMP646vsZsO6lTrW4/view?usp=drive_link,Sangat Inovatif,,
